volume,mass,length,shape,color,rough,light
185,115,191,REC,B,0,1
113,106,199,REC,R,0,1
193,98,199,TRI,B,1,1
328,174,180,TRI,G,1,1
202,169,197,SQUA,R,1,1
260,157,180,TRI,Y,1,1
128,136,191,SQUA,B,0,1
211,149,193,TRI,G,0,1
121,93,197,REC,R,0,1
175,104,200,TRI,B,0,1
147,159,182,SQUA,Y,1,1
139,166,181,REC,Y,1,1
117,188,197,REC,R,1,1
132,185,192,REC,G,0,1
130,200,189,TRI,R,0,1
387,196,184,TRI,R,0,1
131,115,195,SQUA,Y,0,1
154,82,183,REC,Y,0,1
142,117,177,TRI,B,1,1
183,128,174,TRI,B,1,1
312,181,189,REC,R,0,1
163,82,197,TRI,R,1,1
156,166,173,REC,G,1,1
232,176,198,REC,G,1,1
271,138,184,TRI,Y,0,1
192,187,179,SQUA,G,1,1
171,113,185,SQUA,B,0,1
177,169,197,SQUA,G,0,1
120,176,197,SQUA,Y,0,1
148,188,173,TRI,G,1,1
181,141,178,TRI,R,1,1
125,121,175,REC,Y,1,1
220,194,171,SQUA,Y,1,1
142,119,184,TRI,B,0,1
333,188,188,REC,R,0,1
127,161,197,REC,G,0,1
188,166,181,TRI,G,1,1
253,189,182,SQUA,B,0,1
244,148,185,TRI,Y,0,1
124,175,196,SQUA,R,0,1
110,193,186,REC,R,1,1
351,176,180,REC,G,0,1
165,138,186,REC,R,1,1
131,105,181,SQUA,R,0,1
126,198,176,REC,R,0,1
203,191,188,SQUA,R,0,1
183,146,193,REC,B,0,1
164,178,199,TRI,B,1,1
108,78,191,SQUA,Y,0,1
105,139,179,SQUA,G,1,1
130,173,198,TRI,B,1,1
304,196,197,SQUA,R,0,1
257,162,182,SQUA,G,1,1
274,167,180,TRI,Y,1,1
356,180,172,REC,R,0,1
215,181,182,SQUA,G,0,1
367,200,197,SQUA,G,0,1
196,175,171,TRI,Y,1,1
271,171,179,SQUA,R,1,1
130,119,179,SQUA,Y,1,1
120,140,177,SQUA,B,0,1
201,164,199,REC,R,0,1
112,196,200,SQUA,Y,0,1
209,178,198,REC,G,0,1
185,162,200,SQUA,B,1,1
126,112,174,REC,G,1,1
187,139,179,REC,B,1,1
154,187,191,TRI,R,0,1
156,180,185,REC,G,1,1
203,154,176,TRI,R,1,1
238,129,188,SQUA,Y,1,1
103,62,173,REC,B,1,1
104,72,197,SQUA,B,0,1
264,200,183,TRI,G,0,1
293,170,172,SQUA,Y,1,1
156,89,187,REC,Y,1,1
271,142,177,REC,B,0,1
293,185,176,REC,B,0,1
173,142,197,SQUA,R,0,1
109,118,191,REC,R,1,1
105,69,200,REC,Y,1,1
141,183,172,REC,B,1,1
298,167,182,REC,Y,1,1
343,175,175,TRI,B,1,1
257,180,182,SQUA,G,0,1
263,158,192,SQUA,B,0,1
145,82,198,SQUA,R,1,1
114,93,175,REC,G,0,1
183,168,186,TRI,R,0,1
168,176,188,TRI,G,0,1
260,154,172,TRI,Y,0,1
180,174,199,REC,R,1,1
129,150,195,REC,G,1,1
147,162,176,SQUA,G,0,1
297,152,194,REC,R,0,1
146,146,197,REC,R,0,1
200,200,172,TRI,B,0,1
125,85,200,REC,B,0,1
184,117,179,SQUA,Y,1,1
121,195,196,SQUA,B,0,1
448,193,183,SQUA,B,1,0
298,199,169,SQUA,G,0,0
436,73,166,REC,R,1,0
110,158,152,SQUA,R,1,0
475,142,183,SQUA,Y,1,0
