volume,mass,length,shape,color,rough,light
454,131,168,SQUA,Y,0,1
426,114,166,REC,G,1,1
461,168,160,SQUA,G,1,1
217,162,158,TRI,R,0,1
398,137,194,SQUA,G,0,1
246,186,170,REC,Y,0,1
362,79,171,TRI,R,0,1
499,60,184,SQUA,Y,1,1
483,123,173,TRI,Y,0,1
443,112,200,TRI,G,1,1
399,169,186,SQUA,G,0,1
439,83,177,REC,R,0,1
346,167,188,REC,Y,1,1
310,150,192,REC,R,0,1
417,182,156,TRI,R,0,1
458,101,169,TRI,B,1,1
443,154,163,TRI,G,1,1
449,194,187,TRI,Y,0,1
490,150,171,REC,B,1,1
389,197,163,SQUA,R,0,1
279,113,187,SQUA,Y,0,1
484,191,150,REC,B,0,1
361,107,168,SQUA,G,0,1
395,120,186,TRI,B,0,1
417,85,200,REC,Y,0,1
462,67,184,REC,B,1,1
405,179,198,SQUA,Y,0,1
484,161,171,TRI,B,1,1
372,109,177,TRI,R,1,1
424,118,194,SQUA,B,0,1
473,199,171,SQUA,G,0,1
317,159,172,REC,R,1,1
367,178,162,REC,R,1,1
178,174,151,TRI,R,0,1
414,143,180,REC,G,0,1
387,198,180,REC,B,0,1
325,194,187,SQUA,R,0,1
293,176,180,TRI,G,0,1
277,150,154,REC,B,0,1
448,198,154,SQUA,G,0,1
394,176,200,REC,Y,0,1
469,53,156,SQUA,R,0,1
465,123,165,TRI,G,0,1
439,111,171,SQUA,B,1,1
268,140,181,SQUA,B,0,1
339,130,172,SQUA,Y,0,1
406,114,151,SQUA,R,1,1
407,178,172,SQUA,R,0,1
249,199,193,REC,G,0,1
489,156,200,SQUA,R,0,1
318,197,177,SQUA,R,1,1
276,140,152,SQUA,R,0,1
375,61,184,REC,Y,0,1
461,171,194,REC,Y,0,1
347,182,167,TRI,R,0,1
368,195,158,SQUA,R,0,1
186,191,164,TRI,R,0,1
277,100,151,REC,B,0,1
491,97,151,REC,G,0,1
262,198,200,TRI,B,0,1
437,168,190,SQUA,G,0,1
322,140,163,REC,B,0,1
319,106,161,REC,G,0,1
338,177,182,REC,R,1,1
386,129,152,SQUA,B,1,1
358,88,159,SQUA,B,0,1
480,186,179,SQUA,G,0,1
471,105,182,REC,R,1,1
376,170,189,SQUA,Y,0,1
423,84,200,TRI,R,1,1
486,191,198,TRI,B,0,1
433,181,162,TRI,R,1,1
437,148,185,REC,Y,0,1
467,163,189,SQUA,B,0,1
360,184,150,SQUA,Y,0,1
434,60,161,REC,Y,0,1
490,62,169,TRI,G,0,1
306,116,157,TRI,G,0,1
254,190,194,TRI,R,0,1
467,121,191,TRI,B,0,1
360,155,190,SQUA,B,0,1
484,115,152,TRI,G,0,1
359,163,166,REC,B,0,1
478,109,154,SQUA,R,1,1
486,106,173,TRI,R,1,1
443,160,153,TRI,R,1,1
455,50,180,TRI,R,1,1
431,67,161,TRI,R,1,1
217,185,164,REC,B,0,1
448,53,162,SQUA,Y,0,1
384,152,191,REC,R,1,1
418,182,158,REC,Y,0,1
400,88,172,REC,G,0,1
448,80,166,REC,G,0,1
390,121,188,SQUA,B,1,1
490,89,154,REC,G,1,1
455,178,183,TRI,B,0,1
473,64,179,TRI,R,0,1
436,137,197,SQUA,Y,0,1
262,181,160,TRI,R,0,1
322,147,186,REC,G,1,0
173,127,190,TRI,B,0,0
326,135,176,TRI,Y,1,0
155,182,177,REC,Y,1,0
191,161,155,SQUA,Y,1,0
163,50,193,TRI,R,0,0
190,56,177,TRI,B,1,0
112,104,191,REC,G,1,0
300,105,200,SQUA,Y,1,0
104,152,157,TRI,G,1,0
123,181,161,TRI,Y,1,0
268,155,191,REC,B,1,0
279,170,189,SQUA,Y,1,0
389,57,180,TRI,B,1,0
181,85,175,TRI,G,0,0
103,168,154,TRI,Y,1,0
126,190,160,SQUA,B,0,0
273,122,187,TRI,R,1,0
291,83,175,SQUA,B,1,0
140,106,150,REC,B,1,0
165,102,189,TRI,R,0,0
153,164,183,SQUA,B,1,0
163,144,167,REC,B,0,0
278,56,184,REC,B,0,0
239,76,182,SQUA,R,1,0
130,180,155,REC,R,1,0
121,150,197,SQUA,R,1,0
271,111,187,TRI,G,0,0
285,111,198,TRI,R,1,0
127,75,185,SQUA,G,0,0
